007121,CLEANER - Ajax Scouring Powder 21 oz,24
007123,CLEANER - Dawn Liquid 32 oz,96
007129,CLEANER - Johnson Diversey Stride Citrus Neutral 1.32 Gallon #3063390,12
007131,CLEANER - Kaiblooey Restroom Cleaner,40
007132,CLEANER - Kaibosh Disinfectant Hospital Strength,16
007136,CLEANER - Spray Nine Multi-Purpose Cleaner & Disinfect 32 oz,93
007140,SOAP - BetcoClario Foaming Cleanser 78129 1000ml,40
007160,CLOTH - Micro Fiber 80/20 w/Polymide Content 16"x16,36
007191,FLOOR PADS - 3M Black 20 5/Box,5
007192,FLOOR PADS - Scotch-Brite Surface Prep 14"x28 #70-0714-9216-7,120
007414,GLOVES - Disposable Powder & Latex Free XX-Large. 100/box,6
007500,TISSUES - Facial 100/Box,1106
007510,TISSUE - Toilet 2 Ply Jumbo 9" Diameter 3.875x1000 12/Case,232
008010,CLIPS - Paper No. 1 100/box,12
008011,CLIPS - Paper Jumbo 100/box,16
008012,CLIPS - Binder Small 12/Box,6
008013,CLIPS - Binder Medium 12/Box,76
008014,CLIPS - Binder Large 1/ea,99
008020,BINDER - 1 Black 3 Ring,31
008021,BINDER - 1 Blue 3 Ring,21
008022,BINDER - 1 Red 3 Ring,4
008024,BINDER - 2 Blue 3 Ring,44
008025,BINDER - 2 Red 3 Ring,57
008026,BINDER - 3 Black 3 Ring,25
008028,BINDER - 3 Red 3 Ring,48
008057,FOLDERS - POCKET Assorted Colors w/Fasteners 25/box,4
008072,PENCILS - Colored Crayola 36 Pack,1
008082,PENS - Pilot EasyTouch Retractable Fine Red 12/Box,4
008120,MARKER - Sharpie Ultra Fine Black,24
008122,MARKER - Sharpie Ultra Fine Red,95
008122bx,MARKER - Sharpie Ultra Fine Red 12/box,5
008124,MARKER - Sharpie Fine Point Black,133
008124bx,MARKER - Sharpie Fine Point Black 12/box,4
008125,MARKER - Sharpie Fine Point Blue,14
008125bx,MARKER - Sharpie Fine Point Blue 12/box,4
008126,MARKER. SHARPIE - Fine Point Red,61
008127,MARKER - Sharpie Fine Point Green,59
008127bx,MARKER - Sharpie Fine Point Green (12/box),3
008132,MARKER - Sharpie King Size Black,2
008133,MARKER - Sharpie King Size Blue,11
008134,MARKER - Sharpie King Size Red,19
008140,HIGHLIGHTER - Green,39
008140bx,HIGHLIGHTER - Green (12/box),4
008141,HIGHLIGHTER - Orange,44
008141bx,HIGHLIGHTER - Orange (12/box),4
008142,HIGHLIGHTER - Yellow,48
008142bx,HIGHLIGHTER - Yellow 12/box,1
008143,HIGHLIGHTER - Pink,46
008143bx,HIGHLIGHTER - Pink (12/box),4
008181,INDEX CARDS - White Ruled 4" x 6 100/pkg,55
008202,POST-IT NOTES - 1 3/8" x 1 7/8 Canary 12/Pkg,91
008302,SCISSORS - 7,1
008325,ERASERS - Pink Pearl Small,63
008326,ERASERS - Pink Pearl Medium,4
008327,ERASERS - Ink & Carbon,9
008333,TAPE - Scotch Transparent 3/4" w/1" Core,23
008341,STAPLER - Bostich B515,7
008342,STAPLES - Standard Straight 5000/Box,4
008350,ERASER - Expo Dry Erase,25
008352,CLEANER - Expo Dry Erase,4
008353,MARKER - Expo Dry Erase Fine Tip Black,19
008354,MARKER - Expo Dry Eraser Fine Tip Blue,11
008355,MARKER - Expo Dry Erase Fine Point Red,21
008356,MARKER - Expo Dry Erase Fine Tip Green,11
008357,MARKER - Expo Dry Erase Chisel Tip Black,47
008359,MARKER - Expo Dry Erase Chisel Tip Red,18
10001,GLUE STICK 1/EA,8
10005,PAPERCLIPS - Butterfly 50/box,2
10021,KEY TAGS - 50/pkg,4
10023,PENCIL - No. 2 12/box,17
10048,FOLDERS - File Letter Size Manilla,399
10071,POST-IT NOTES - Yellow 3" x 5,165
10072,POST-IT NOTES - Yellow 3" x 3,192
10073,POST-IT NOTES - Multi-Color 3" x 3,72
10076,POST-IT NOTES - Yellow (Lined) 4" x 6,260
10077,INDEX TABS - 25 pack,5
10078,FOLDERS - Hanging File,200
10080,BINDER TABS - Pack of 8,8
10093,PENCILS - Colored 36 Pack,3
10094,FLASH DRIVE - USB 4 GB,4
10100,STOP THE BLEED KIT,24
10101,MEDICINE CABINETS,24
10102,EYE WASH STATION,10
10104,DETERGENT - Laundry Liquid 5 Gal/Bucket,9
19100,CEILING TILES,213
20001,CONSTRUCTION PAPER - 12X18 Lilac,13
20002,CONSTRUCTION PAPER - 12X18 Blue,30
20003,CONSTRUCTION PAPER - 12X18 Magenta,32
20004,CONSTRUCTION PAPER - 12X18 Red,6
20006,CONSTRUCTION PAPER - 12X18 Pink,5
20007,CONSTRUCTION PAPER - 12X18 Holiday Green,17
20008,CONSTRUCTION PAPER - 12X18 Bright Green,18
20009,CONSTRUCTION PAPER - 12X18 Sky Blue,54
20010,CONSTRUCTION PAPER - 12X18 Turquoise,17
20011,CONSTRUCTION PAPER - 12X18 Black,10
20012,CONSTRUCTION PAPER - 12X18 White,10
20013,CONSTRUCTION PAPER - 12X18 Brown,1
20014,CONSTRUCTION PAPER - 12X18 Light Brown,6
20015,CONSTRUCTION PAPER - 9X12 Red,3
20016,CONSTRUCTION PAPER - 9X12 Magenta,5
20017,CONSTRUCTION PAPER - 9X12 Pink,3
20018,CONSTRUCTION PAPER - 9X12 Bright Green,22
20019,CONSTRUCTION PAPER - 9X12 Holiday Green,8
20020,CONSTRUCTION PAPER - 9X12 Dark Green,3
20022,CONSTRUCTION PAPER - 9X12 Turquoise,26
20023,CONSTRUCTION PAPER - 9X12 Sky Blue,8
20024,CONSTRUCTION PAPER - 9X12 Dark Blue,26
20025,CONSTRUCTION PAPER - 9X12 Lilac,1
20026,CONSTRUCTION PAPER - 9X12 Violet,18
20028,CONSTRUCTION PAPER - 9X12 Light Brown,3
20029,CONSTRUCTION PAPER - 12 x 18 Brilliant Lime,3
20030,CONSTRUCTION PAPER - 12 x 18 Light Green,1
20032,CONSTRUCTION PAPER - 12 x 18 Dark Green,7
20033,CONSTRUCTION PAPER - 12 x 18 Gray,1
20035,CONSTRUCTION PAPER - 9 x 12 Brown,4
22030,COPY PAPER - White 8.5X11,1300
22031,COPY PAPER - Blue 8.5X11,64
22032,COPY PAPER - Ivory 8.5X11,87
22033,COPY PAPER - Buff 8.5X11,32
22034,COPY PAPER - Pink 8.5X11,52
22035,COPY PAPER - Green 8.5X11,7
22036,COPY PAPER - Canary 8.5X11,33
22037,COPY PAPER - Goldenrod 8.5X11,118
22038,COPY PAPER - Red 8.5X11,46
22039,COPY PAPER - Salmon 8.5X11,40
22040,COPY PAPER - Roman Candle Red 8.5X11,18
22042,COPY PAPER - White 8.5X14 (Legal),96
22043,COPY PAPER - White 11"X17,53
22044,COPY PAPER - White 8.5" x 11 65 lbs,22
22045,COPY PAPER - White 8.5" x 11 60 lbs,18
22046,COPY PAPER - Ivory 8.5" x 11 70 lbs,2
22049,COPY PAPER - Yellow 8.5" x 11,6
22052,PAPER - Notebook Wide Ruled,1
22053,PAPER - Graph,15
22054,COPY PAPER - Canary 8.5" x 11 60 lbs,27
22056,COPY PAPER - Blue 8.5" x 11 60 lb,3
22057,COPY PAPER - Cream 8.5" x 11 70 lbs,3
50001,PAPER TOWELS,147
50005,SWEEPING COMPOUND,16
50007,KAIBOSH DISINFECTANT CLEANER,16
50008,GLASS CLEANER,240
50011,MONK DISINFECTANT WIPES W/BUCKET,38
50012,MONK DISINFECTANT WIPES REFILL,64
50013,DAWN DISH SOAP,240
50014,DAWN POWER DISSOLVER,96
50015,OXIBIR SANITIZER,24
50016,HAND SAN 510D 5 GAL,31
50017,KAT LITTER 42LB,6
50018,SIMPLE GREEN ALL PURPOSE CLEANER,5
74491,SANITIZING WIPES KIT REFILL (BOX OF 6),63
90000,SIGNALING TRANSFORMER,3
90001,GROUNDING NYLON PLUGS,69
90003,14-3 ROMEX,1000
90105,WIRE - AWG 14 Solid Red 500 ft/roll,3
90106,WIRE - AWG 18 Solid Red 500 ft/roll,21
90108,WIRE - 18 AWG Solid Blue 500 ft/roll,9
90109,WIRE - 18 AWG Stranded White 500 ft/roll,7
90110,WIRE - 18 AWG Solid White 500 ft/roll,26
90113,WIRE - 18/2 AWG White 500 ft/roll,3
90114,WIRE - 18/3 AWG White 500 ft/roll,11
90115,WIRE - 10 AWG Stranded Green 500 ft/roll,2
90116,WIRE - 14 AWG Solid Green 500 ft/roll,4
90117,WIRE - 14 AWG Solid Yellow,3
90118,WIRE - 18 AWG Solid Yellow 500 ft/roll,4
90122,WIRE - 18 AWG Stranded Blue 500 ft/roll,18
90123,WIRE - 16 AWG Stranded Blue 500 ft/roll,4
90124,WIRE - AWG 14 Stranded Red 500 ft/roll,4
90125,WIRE - AWG 18 Stranded Red 500 ft/roll,4
90130,CIRCUIT BREAKER - 15A 1 Pole Arc-D-tect,41
90131,CIRCUIT BREAKER - 20A 1 Pole Arc-D-tect,58
90132,CIRCUIT BREAKER - 20A 2 Pole Arc-D-tect,3
90133,CIRCUIT BREAKER - 50A 2 Pole Arc-D-tect,9
90141,TRANSFORMERS - 120 to 24,55
90142,INSULATED STAPLES - #5 Copper,26
90143,FEMALE DISCONNECT - #22-18 AWG,18
90144,FEMALE DISCONNECT - #16-14 AWG,1
90149,DOORBELL,1
90150,VINYL INSULATORS - Red,2
90151,TOGGLE SWITCH - 3 Way Side Wired,35
90152,RECEPTACLE - Twist Lock 4 Pole 5 Wire,5
90153,TOGGLE SWITCH - 2 Way,36
90154,RECEPTACLE - Duplex 2 pole 3 wire,10
90155,ELECTRICAL BOX COVERS - Round 4 1/2" Raised,32
90157,TOWEL RING - 1 Gang 5/8,52
90158,TOWEL RING - 2 Gang 5/8,16
90159,TOWEL RING - 2 Gang 3/8,7
90160,OUTLET BOX COVER - 4,2
90161,VACANCY SENSOR,5
90165,CORNER ANGLE - 2 Hole,1
90166,INDICATOR LIGHT - Red 125V,1
90167,4" SQUARE SURFACE COVER,1
90168,BEAM CLAMPS - Universal Tapped 1/4"-20,1
90169,FIXTURE BOX - Solid Base,9
90170,SQUARE WASHER - 3/8,1
90171,MULTI-GRIP PIPE CLAMP - 1.125-1.375,2
90172,MULTI-GRIP PIPE CLAMP 1.5-1.691,1
91101,1" EMT COUPLING - Box of 25,11
91102,1" EMT CONNECTOR - Box of 25,130
91103,1" EMT SET SCREW CONNECTOR,2
91105,1" CONDUIT STRAP - 1 Hole,3
91106,1" CONDUIT HANGER,11
91201,1/2" COMPRESSION COUPLING - 50/box,4
91202,1/2" EMT COUPLING,8
91203,1/2" OFFSET CONDUIT NIPPLES - 10/box,6
91204,1/2" EMT DIE CAST - 50/box,13
91205,1/2" RIGID CONDUIT NIPPLES,3
91206,1/2" ZINC EMT COUPLING,1
91207,1/2" LIQUIDTIGHT FLEXIBLE METAL CONDUIT CONNECTOR 90 DEGREE ANGLE-INSULATED,1
91208,1/2" EMT COUPLING 90 DEGREE,1
91209,1/2" LIQUIDTIGHT FLEXIBLE METAL CONDUIT CONNECTOR STRAIGHT,11
91210,1/2" ONE HOLE CONDUIT STRAPS,10
91212,1/2" LOCKNUT FOR CONDUIT,1
91213,1/2" PLASTIC BUSHING,1
91214,1/2" SNAP IT CONNECTORS,1
91215,1/2" CONDUIT HANGERS,3
91408,WIRE NUT - Blue Large,5
93401,3/4" COMPRESSION TYPE CONNECTORS FOR EMT,12
93402,3/4" CONDUIT HANGERS,7
93403,3/4" COMPRESSION TYPE COUPLING FOR EMT,3
93404,3/4" LOCKNUTS FOR RIGID CONDUITS,2
93405,3/4" EMT COUPLING,9
93406,3/4" ONE HOLE CONDUIT STRAP,28
93407,3/4" PLASTIC BUSHING,3
93409,3/4 STRAIGHT LIQUID-TIGHT CONNECTORS,5
93410,3/4" RIGID CONDUIT NIPPLE,1
93411,3/4" E.M.T. CONNECTOR,1
93412,3/4" FLEX SQUEEZE CONNECTORS,1
93413,ZINC DIE-CAST COMPRESSION EMT CONNECTOR,1
93414,3/4" PIPE CLAMP,1
93415,3/4" PLASTIC CONDUIT CLIP,1
CB-2377,CHROMEBOOK CB-2377,1
CB-2378,CHROMEBOOK CB-2378,1
CB-2379,CHROMEBOOK CB-2379,1
CB-2380,CHROMEBOOK CB-2380,1
CB-2381,CHROMEBOOK CB-2381,1
CB-2382,CHROMEBOOK CB-2382,1
CB-2383,CHROMEBOOK CB-2383,1
CB-2384,CHROMEBOOK CB-2384,1
CB-2385,CHROMEBOOK CB-2385,1
ECML,ECM T-SHIRT LARGE,71
ECMM,ECM T-SHIRT MEDIUM,27
ECMXL,ECM T-SHIRT XL,28
ECMXXL,ECM T-SHIRT 2XL,23
ECMXXXL,ECM T-SHIRT 3XL,8
HD05GLHD2,BUCKET - 5 Gal. Homer Bucket (20-Pack),1
HD205348100,HOE - 12-Gauge Mason Hoe with Fiberglass Handle,5
HD2880-20,GRINDER - M18 FUEL 18V Lithium-Ion Brushless Cordless 4-1/2 in./5 in. Grinder w/Paddle Switch (Tool-Only),2
HD2893-22CX,IMPACT DRILL - M18 18V Lithium-Ion Brushless Cordless Hammer Drill/Impact Combo Kit (2-Tool) with 2 Batteries Charger and Bag,1
TYVEK2XL,TYVEK SUIT - 2XL,26
TYVEK4XL,TYVEK SUIT - 4XL,22
TYVEK5XL,TYVEK SUIT - 5XL,4
TYVEKL,TYVEK SUIT - L,2
TYVEKXL,TYVEK SUIT - XL,61